ENSEMBLE_GENE	GENE_SYMBOL	HUMAN_EXPR	APE_EXPR	FOLD_CHANGE	LOG2FC	WILCOX_STAT	P_T_TEST	P_PERM	P_WILCOX	FDR
ENSG00000244490	RWDD4P1	12	0	Inf	Inf	420	2.97624296804803e-07	0	6.10907768035585e-09	3.32196319901769e-07
ENSG00000241571	ATP5A1P7	0	16	0	-Inf	0	1.76038562025495e-06	0	6.11955187431812e-09	3.32196319901769e-07
ENSG00000277297	ATP5A1P10	0	16	0	-Inf	0	1.76038562025495e-06	0	6.11955187431812e-09	3.32196319901769e-07
ENSG00000273203	AC006946.16	13	0	Inf	Inf	420	1.42527121829644e-09	0	6.13004198285741e-09	3.32196319901769e-07
ENSG00000198580	RP11-611L7.2	13	0	Inf	Inf	420	6.65229280900857e-08	0	6.13004198285741e-09	3.32196319901769e-07
ENSG00000219186	FTH1P19	24	0	Inf	Inf	420	3.10309770585291e-05	0	6.13004198285741e-09	3.32196319901769e-07
ENSG00000224059	HSPA8P16	38	0	Inf	Inf	420	0.000970981623728004	0	6.14054802685619e-09	3.32196319901769e-07
ENSG00000228847	ATP5G2P4	38	0	Inf	Inf	420	9.87124093831864e-09	0	6.15107002721967e-09	3.32196319901769e-07
ENSG00000169040	PMCHL2	0	23.5	0	-Inf	0	2.40233034366263e-07	0	6.15107002721967e-09	3.32196319901769e-07
ENSG00000238173	RPL39P6	0	34	0	-Inf	0	4.43017670179876e-06	0	6.15107002721967e-09	3.32196319901769e-07
ENSG00000215572	ESRRAP1	30	0	Inf	Inf	420	1.62337784173911e-09	0	6.16160800487583e-09	3.32196319901769e-07
ENSG00000272361	GS1-166A23.2	12	0	Inf	Inf	420	1.4509884131677e-06	0	6.16160800487583e-09	3.32196319901769e-07
ENSG00000277133	RP11-453N3.7	0	129.5	0	-Inf	0	3.11979951693515e-12	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000234882	EIF3EP1	63	0	Inf	Inf	420	2.33379785150804e-11	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000275933	7SK	0	98	0	-Inf	0	8.29203957446732e-10	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000249617	RP11-366M4.17	19	0	Inf	Inf	420	6.15738507024873e-09	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000240652	RP11-832N8.1	32	0	Inf	Inf	420	7.11946990567574e-09	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000230756	RHOQP3	47	0	Inf	Inf	420	1.2800098432558e-08	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000240122	FABP5P11	33	0	Inf	Inf	420	1.3195648888785e-08	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000213750	KB-1683C8.1	23	0	Inf	Inf	420	1.01850509954939e-07	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000270392	PFN1P2	37	0	Inf	Inf	420	6.62862454062851e-07	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000186767	SPIN4	26	0	Inf	Inf	420	1.24225575229383e-05	0	6.17216198077535e-09	3.32196319901769e-07
ENSG00000213492	NT5C3AP1	54	0	Inf	Inf	420	5.49839733486639e-09	0	6.18273197589167e-09	3.32196319901769e-07
ENSG00000240418	CTD-2013N17.1	86	0	Inf	Inf	420	1.22016178298683e-08	0	6.18273197589167e-09	3.32196319901769e-07
ENSG00000274922	RP11-88E10.5	19	0	Inf	Inf	420	2.49900075377867e-08	0	6.18273197589167e-09	3.32196319901769e-07
ENSG00000273281	RP11-339B21.14	29	0	Inf	Inf	420	1.2878174770564e-07	0	6.18273197589167e-09	3.32196319901769e-07
ENSG00000230355	AC009474.2	0	18	0	-Inf	0	7.69924623430795e-06	0	6.18273197589167e-09	3.32196319901769e-07
ENSG00000219926	RP11-394A14.2	0	38	0	-Inf	0	0.000933896338923889	0	6.18273197589167e-09	3.32196319901769e-07
ENSG00000226025	LGALS17A	22	0	Inf	Inf	420	0.0662780350574786	0	6.18273197589167e-09	3.32196319901769e-07
ENSG00000176410	DNAJC30	278	0	Inf	Inf	420	2.6217572022083e-11	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000242757	CTD-2090I13.3	134	0	Inf	Inf	420	2.7671613196867e-10	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000231167	YBX1P2	342	0	Inf	Inf	420	1.63229381105181e-09	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000225031	EIF4BP7	182	0	Inf	Inf	420	4.28629806456566e-09	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000157240	FZD1	257	0	Inf	Inf	420	8.51692867824022e-09	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000175741	RWDD4P2	150	0	Inf	Inf	420	1.42557162681782e-08	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000236115	RP11-62C3.6	0	81.5	0	-Inf	0	2.28775801532739e-08	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000255769	GOLGA2P10	126	0	Inf	Inf	420	3.06053878280609e-06	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000223551	TMSB4XP4	74	0	Inf	Inf	420	7.13411188436913e-06	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000275224	MIR6501	36	0	Inf	Inf	420	8.49719956633278e-06	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000258154	RP11-44N21.2	0	45.5	0	-Inf	0	5.68192888057434e-05	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000215864	NBPF7	0	73	0	-Inf	0	0.000266649369756163	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000227058	RP13-34L8.7	0	277	0	-Inf	0	0.000879887935118125	0	6.19331801122097e-09	3.32196319901769e-07
ENSG00000175283	DOLK	134	0	Inf	Inf	420	2.0245602176884e-12	0	6.20392010778234e-09	3.32196319901769e-07
ENSG00000268785	RPL7P50	168	0	Inf	Inf	420	5.11557779387371e-11	0	6.20392010778234e-09	3.32196319901769e-07
ENSG00000244146	RP11-366M4.2	0	288	0	-Inf	0	9.67896493849014e-08	0	6.20392010778234e-09	3.32196319901769e-07
ENSG00000235332	RP11-366O20.5	0	44.5	0	-Inf	0	1.81313357970677e-07	0	6.20392010778234e-09	3.32196319901769e-07
ENSG00000235253	AC010240.2	0	1419	0	-Inf	0	3.75378411959224e-05	0	6.20392010778234e-09	3.32196319901769e-07
ENSG00000254193	RP11-585F1.8	0	45	0	-Inf	0	4.99854715667267e-05	0	6.20392010778234e-09	3.32196319901769e-07
ENSG00000177144	NUDT4P1	0	789.5	0	-Inf	0	7.76873085400141e-05	0	6.20392010778234e-09	3.32196319901769e-07
ENSG00000229091	HSPA8P8	79	0	Inf	Inf	420	0.000862250927890419	0	6.20392010778234e-09	3.32196319901769e-07
ENSG00000278048	RNU2-1	0	113.5	0	-Inf	0	0.00197869975021682	0	6.20392010778234e-09	3.32196319901769e-07
ENSG00000264326	MIR4657	21	0	Inf	Inf	420	5.89457614943097e-08	0.001	6.10907768035585e-09	3.32196319901769e-07
ENSG00000272593	URM1	14	0	Inf	Inf	420	5.46414126315168e-07	0.001	6.10907768035585e-09	3.32196319901769e-07
ENSG00000272463	RP11-532F6.3	11	0	Inf	Inf	420	4.74614257793049e-06	0.001	6.13004198285741e-09	3.32196319901769e-07
ENSG00000184730	APOBR	24	0	Inf	Inf	420	0.00249215126594026	0.002	6.06733963341954e-09	3.32196319901769e-07
ENSG00000213130	EEF1DP5	18	0	Inf	Inf	420	2.14012788014084e-08	0.002	6.16160800487583e-09	3.32196319901769e-07
ENSG00000224834	BTF3P9	14	0	Inf	Inf	420	2.60048149550872e-09	0.004	6.10907768035585e-09	3.32196319901769e-07
ENSG00000228666	KRT18P1	0	15.5	0	-Inf	0.5	0.000344884521058933	0	6.60280614987246e-09	3.52597005916631e-07
ENSG00000257657	RP11-352M15.1	0	15.5	0	-Inf	0.5	5.74025066742026e-06	0	6.70489398725901e-09	3.54466610716928e-07
ENSG00000224948	ATP5G1P8	0	11	0	-Inf	1	2.09731188186039e-07	0	7.09912291756932e-09	3.69098198128505e-07
ENSG00000274603	Y_RNA	18	0	Inf	Inf	420	6.96574891464027e-10	0	8.40964908692713e-09	4.12234282088146e-07
ENSG00000229971	RP5-1119A7.10	0	28	0	-Inf	0	7.27793159835926e-10	0	8.45140844558201e-09	4.12234282088146e-07
ENSG00000241651	RP11-214O14.1	24	0	Inf	Inf	420	2.0531183040987e-08	0	8.47934978926951e-09	4.12234282088146e-07
ENSG00000188511	C22orf34	19	0	Inf	Inf	420	8.01757161571339e-05	0	8.47934978926951e-09	4.12234282088146e-07
ENSG00000271270	TMCC1-AS1	40	0	Inf	Inf	420	5.78082257852237e-10	0	8.49335106928622e-09	4.12234282088146e-07
ENSG00000233158	RPS24P6	0	156.5	0	-Inf	0	9.27698016653473e-08	0	8.49335106928622e-09	4.12234282088146e-07
ENSG00000213683	AC002056.3	14	0	Inf	Inf	420	1.6441702721906e-06	0	8.49335106928622e-09	4.12234282088146e-07
ENSG00000268516	CTD-3138B18.5	29	0	Inf	Inf	420	8.75337050626644e-10	0	8.50737278894568e-09	4.12234282088146e-07
ENSG00000234460	XXyac-YM21GA2.4	0	758.5	0	-Inf	0	5.17539428611682e-08	0	8.50737278894568e-09	4.12234282088146e-07
ENSG00000226338	AC079150.2	0	36	0	-Inf	0	3.90020272398482e-07	0	8.50737278894568e-09	4.12234282088146e-07
ENSG00000175676	GOLGA8EP	0	23.5	0	-Inf	0	8.79642098526904e-06	0	8.50737278894568e-09	4.12234282088146e-07
ENSG00000179571	NBPF17P	0	62	0	-Inf	0	4.49696152224215e-05	0	8.50737278894568e-09	4.12234282088146e-07
ENSG00000267143	RP11-677O4.6	0	29.5	0	-Inf	0	6.43142316187453e-05	0	8.50737278894568e-09	4.12234282088146e-07
ENSG00000237818	RPS3AP29	138	0	Inf	Inf	420	1.94622091534585e-11	0	8.52141497392673e-09	4.12234282088146e-07
ENSG00000267575	CTC-459F4.3	84	0	Inf	Inf	420	3.26186880897224e-09	0	8.52141497392673e-09	4.12234282088146e-07
ENSG00000280355	RP11-119F19.5	65	0	Inf	Inf	420	3.54354788881923e-08	0	8.52141497392673e-09	4.12234282088146e-07
ENSG00000258771	RP11-854K16.2	0	421	0	-Inf	0	6.52233143956214e-07	0	8.52141497392673e-09	4.12234282088146e-07
ENSG00000261150	EPPK1	34	0	Inf	Inf	420	1.64227140671837e-06	0	8.52141497392673e-09	4.12234282088146e-07
ENSG00000169894	MUC3A	56	0	Inf	Inf	420	0.000101247269077558	0	8.52141497392673e-09	4.12234282088146e-07
ENSG00000228771	RP11-552J9.1	0	244	0	-Inf	0	0.00120265485797004	0	8.52141497392673e-09	4.12234282088146e-07
ENSG00000146676	PURB	1755	0	Inf	Inf	420	1.10952477976061e-11	0	8.53547764993472e-09	4.12234282088146e-07
ENSG00000262061	RP11-1260E13.4	57	0	Inf	Inf	420	8.01700771413385e-08	0	8.53547764993472e-09	4.12234282088146e-07
ENSG00000273477	RP11-196O16.1	54	0	Inf	Inf	420	1.19810150363497e-07	0	8.53547764993472e-09	4.12234282088146e-07
ENSG00000258397	RP11-173D3.2	0	421	0	-Inf	0	6.53261477109005e-07	0	8.53547764993472e-09	4.12234282088146e-07
ENSG00000196834	POTEI	219	0	Inf	Inf	420	6.92855871223948e-05	0	8.53547764993472e-09	4.12234282088146e-07
ENSG00000222038	POTEJ	1725	0	Inf	Inf	420	9.04191443540716e-05	0	8.53547764993472e-09	4.12234282088146e-07
ENSG00000274452	U2	0	113.5	0	-Inf	0	0.00198490138694975	0	8.53547764993472e-09	4.12234282088146e-07
ENSG00000214460	TPT1P6	921	0	Inf	Inf	420	1.04902856436183e-09	0.001	8.53547764993472e-09	4.12234282088146e-07
ENSG00000242607	RPS3AP34	89	0	Inf	Inf	420	2.39342769280364e-10	0.002	8.50737278894568e-09	4.12234282088146e-07
ENSG00000215146	RP11-313J2.1	14	0	Inf	Inf	419.5	7.01914397181758e-06	0	8.89988043811745e-09	4.19573732169154e-07
ENSG00000227159	DDX11L16	0	11.5	0	-Inf	0.5	0.000156599827749928	0	9.19764833450217e-09	4.27452029319258e-07
ENSG00000164326	CARTPT	0	18.5	0	-Inf	1	0.000432859846490465	0	1.00403730101796e-08	4.65518941566094e-07
ENSG00000229703	XX-CR54.1	0	21.5	0	-Inf	1.5	2.54339956464127e-05	0	1.08335836262562e-08	4.89204906353023e-07
ENSG00000260335	RP11-345J4.6	0	12.5	0	-Inf	1.5	0.00119099969749604	0	1.08335836262562e-08	4.89204906353023e-07
ENSG00000255996	RP11-429A20.2	0	13	0	-Inf	0	7.61017441087559e-08	0	1.09623069477936e-08	4.89204906353023e-07
ENSG00000272213	MIR484	0	14.5	0	-Inf	0	9.17567008964133e-07	0	1.10680815769005e-08	4.89204906353023e-07
ENSG00000258684	BMS1P16	0	12	0	-Inf	0	2.03808932754006e-06	0	1.10680815769005e-08	4.89204906353023e-07
ENSG00000240443	RPS10P20	0	31.5	0	-Inf	0	1.00463615758112e-09	0	1.10857979744482e-08	4.89204906353023e-07
ENSG00000255042	RP11-347H15.5	11	0	Inf	Inf	420	3.31012373200205e-09	0	1.11035393934444e-08	4.89204906353023e-07
ENSG00000241007	SEPT7P6	12	0	Inf	Inf	420	1.2710833439092e-08	0	1.11035393934444e-08	4.89204906353023e-07
ENSG00000223799	IL10RB-AS1	13	0	Inf	Inf	420	2.7320114459465e-05	0	1.11035393934444e-08	4.89204906353023e-07
ENSG00000216621	RP11-244K5.6	0	21	0	-Inf	0	2.38715635869316e-05	0	1.11213058642116e-08	4.89204906353023e-07
ENSG00000243894	RP11-489M13.1	0	32.5	0	-Inf	0	3.88519702399967e-10	0	1.11390974171016e-08	4.89204906353023e-07
ENSG00000278175	RP11-104G3.8	19	0	Inf	Inf	420	4.70154169166244e-09	0	1.11390974171016e-08	4.89204906353023e-07
ENSG00000215467	RPL27AP	0	14	0	-Inf	0	3.25609439866344e-06	0	1.11390974171016e-08	4.89204906353023e-07
ENSG00000269911	FAM226B	0	20.5	0	-Inf	0	5.9126061105904e-06	0	1.11390974171016e-08	4.89204906353023e-07
ENSG00000262370	RP11-473M20.9	33	0	Inf	Inf	420	3.81057950061615e-06	0	1.11569140824968e-08	4.89204906353023e-07
ENSG00000254126	CD8BP	0	19	0	-Inf	0	5.29762803952096e-05	0	1.11569140824968e-08	4.89204906353023e-07
ENSG00000260165	CTD-2323K18.3	0	46	0	-Inf	0	5.51821412968106e-05	0	1.11747558908097e-08	4.89204906353023e-07
ENSG00000244211	PDZK1P2	0	21	0	-Inf	0	0.0008242746785653	0	1.11747558908097e-08	4.89204906353023e-07
ENSG00000205670	SMIM11	0	1659.5	0	-Inf	0	2.88963257307118e-10	0	1.11926228724828e-08	4.89204906353023e-07
ENSG00000273590	SMIM11	0	1648.5	0	-Inf	0	3.07826386696336e-10	0	1.11926228724828e-08	4.89204906353023e-07
ENSG00000272960	RP11-339B21.15	38	0	Inf	Inf	420	2.30582988288783e-09	0	1.12105150579891e-08	4.89204906353023e-07
ENSG00000272950	RP11-307C18.1	15	0	Inf	Inf	420	8.64429451398774e-05	0	1.12105150579891e-08	4.89204906353023e-07
ENSG00000243988	RPS24P17	24	0	Inf	Inf	420	3.76139764288369e-07	0	1.12284324778315e-08	4.89204906353023e-07
ENSG00000243697	RP11-463O9.1	0	1176	0	-Inf	0	1.14918326330137e-13	0	1.12463751625435e-08	4.89204906353023e-07
ENSG00000234277	CTD-2090I13.1	134	0	Inf	Inf	420	2.81564494800467e-10	0	1.12463751625435e-08	4.89204906353023e-07
ENSG00000206567	AC022007.5	23	0	Inf	Inf	420	1.19565533720687e-07	0	1.12463751625435e-08	4.89204906353023e-07
ENSG00000249192	CTB-36O1.3	0	127480.5	0	-Inf	0	1.04197183364735e-05	0	1.12463751625435e-08	4.89204906353023e-07
ENSG00000270157	RP5-894A10.6	14	0	Inf	Inf	420	5.37069150397701e-11	0.002	1.07879975067751e-08	4.89204906353023e-07
ENSG00000172294	CSPG4P4Y	0	10.5	0	-Inf	2	1.1287312771978e-05	0	1.15746833971647e-08	5.02376952293238e-07
ENSG00000273419	RP4-751H13.7	12	0	Inf	Inf	419.5	9.78608356351664e-07	0	1.19336878524982e-08	5.04620856509605e-07
ENSG00000229752	RPL7P10	15	0	Inf	Inf	420	6.29098285261328e-09	0	1.37629106244669e-08	5.70407757410996e-07
ENSG00000273897	CH17-264B6.4	0	23	0	-Inf	0	4.97685392215380e-11	0	1.39354923831088e-08	5.70407757410996e-07
ENSG00000275160	RP11-187C18.3	20	0	Inf	Inf	420	2.7098395394413e-08	0	1.39571985845465e-08	5.70407757410996e-07
ENSG00000276783	AC009065.3	0	15	0	-Inf	0	1.02465603126564e-08	0	1.40224960015973e-08	5.70407757410996e-07
ENSG00000219755	RP1-199J3.5	20	0	Inf	Inf	420	1.79130988361764e-08	0	1.40443215281757e-08	5.70407757410996e-07
ENSG00000275223	RP1-63M2.7	12	0	Inf	Inf	420	1.02216252893561e-08	0	1.40661769736097e-08	5.70407757410996e-07
